block,poolId,gaugeId,userAddress,balancer_bpt
19181989,182,-,0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,396272844435693001697
19181989,182,-,0x29c7b44e0584624c1e877d3ee0856520e2851ba6,247518661716231060183
19181989,182,-,0x324b9d99da9a586e7510f1ca7f48f1d6885e6eb1,228428749087637312738
19181989,182,-,0x797c6c78d8b8bdecfed83713d10bd284d1a419b3,149459916170719148289
19181989,182,-,0xecc0e46f64458ae70dca30e298d20e3c993d9541,119778364438579960627
19181989,182,-,0xd50cbde55f8da4e8cf94f38deae2c722a5bd156b,77062032702451142933
19181989,182,-,0x32a59b87352e980dd6ab1baf462696d28e63525d,30364630694569465157
19181989,182,-,0x4e76902faccd6feeef68ff0508a7caf75bce81b6,25279741841754558961
19181989,182,-,0xa5af3d4135a260f800b6eaef2be5865407a5699d,20001726629512535251
19181989,182,-,0xd2eeff73117c86c14f11a6052620848f8dd6e0c8,15500292369536254337
19181989,182,-,0x53d8edf6a54239eb785ec72213919fb6b6b73598,8928496147815050274
19181989,182,-,0x269ea4cd75a8ecabff55e47a34453801e412b991,7482586132209890808
19181989,182,-,0xf18124581a86d11436684b0124a46efa935a3510,6082267930190319804
19181989,182,-,0x89320709fa03205df978694c3151d40f1dd5cc23,4984109029688439240
19181989,182,-,0x173a6b6d8618ce4869783959c17ac401540f28d4,4686054717554579281
19181989,182,-,0x9fc7b795121f24140d969559d4c83f5d6373c484,3286232295261978290
19181989,182,-,0x774e07d068d952dfd5e1c432e9f65010f4f823eb,3080311352134909110
19181989,182,-,0x9b1856d9e00dd107256ad5d7574e7be7514a602d,2389196487294827593
19181989,182,-,0x3a6d41bea462d4c49d0179b783d709a508c50b54,260437807735476534
19181989,182,-,0x00d9acf1d63eae19a1b0e416be85dd7754298ffc,225674413372638103
19181989,182,-,0x434bf013d35fc0bd36c2946afd5365873b3c27d7,13748306166122611
